,positive1,positive2,positive3,control1,control2,control3
URIAAL_R04936,7.546191571,7.211168919,7.814699544,8.128915878,6.182391428,6.856265456
URIAAL_R04907,11.91954983,11.95671042,12.50350907,11.59657481,12.036854,11.98571049
URIAAL_R04906,10.95968152,10.98698527,11.50290906,10.82316907,11.62970679,11.68426139
URIAAL_R08009,5.106768862,4.777125374,5.262800844,4.363545172,5.098372679,5.414953896
URIAAL_R04937,4.363545172,4.363545172,4.363545172,5.273670624,4.363545172,4.363545172
URIAAL_R04918,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R04938,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04939,5.924129206,5.773944293,5.876193263,5.737053834,5.209098481,5.339906261
URIAAL_R04940,10.70595448,10.97115707,11.19319181,10.4544175,11.54880189,10.93159163
URIAAL_R08018,9.600773724,10.5005294,10.85486311,10.13934667,10.96840478,9.717867082
URIAAL_R04941,11.14456734,12.37944583,11.93407285,11.7275342,12.23249918,11.68890531
URIAAL_R08010,16.12714516,14.62936943,15.32585689,15.74744716,14.88329404,15.06379213
URIAAL_R04942,8.27277959,8.856536753,8.891699058,7.984748858,8.451606625,8.536752861
URIAAL_R08017,6.332593726,6.834245654,7.207018448,5.802321118,6.911871644,6.524581044
URIAAL_R04943,9.092352335,9.176654133,9.926454009,10.05282863,10.01009876,9.456256416
URIAAL_R14624,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R04944,4.363545172,4.656489436,4.363545172,4.824231677,4.790835485,4.363545172
URIAAL_R04945,5.268971085,4.86921915,4.685980511,4.363545172,4.363545172,5.060393588
URIAAL_R07986,4.891955851,4.363545172,4.685980511,5.154913227,4.363545172,4.363545172
URIAAL_R04946,4.363545172,4.363545172,4.363545172,5.273670624,4.363545172,4.363545172
URIAAL_R08011,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04951,5.00894176,6.071056843,4.919731905,4.363545172,5.098372679,4.363545172
URIAAL_R04947,11.822216,13.93188065,10.7974241,11.87833568,11.5765639,10.43230443
URIAAL_R04920,4.363545172,6.030025419,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04952,4.363545172,4.363545172,4.363545172,4.363545172,4.885923333,4.363545172
URIAAL_R04957,6.817794699,7.021128884,6.922580976,6.177137402,7.060616207,7.857678963
URIAAL_R04905,10.85914621,11.63300836,9.534662352,8.548878096,11.01099552,10.12576531
URIAAL_R07985,4.363545172,5.230772573,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04948,5.192272678,5.075108153,5.004475073,5.326964755,5.610890998,5.666211823
URIAAL_R04949,9.139611325,9.499094863,9.126034665,10.05426609,9.95164765,9.929568872
URIAAL_R08012,4.363545172,4.363545172,4.363545172,5.424478923,4.666235093,4.934336631
URIAAL_R08013,7.173449256,7.586967397,7.614357541,8.20890444,7.398452322,7.767918775
